,ADA-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,LINK-USD,LTC-USD,MANA-USD,XLM-USD,XRP-USD,SPXT,XCMP,SOFR,VIX
ADA-USD,0.005625528029039508,0.003452250118380292,0.002011088711993641,0.00351797012737737,0.002868632515199423,0.004068795249589999,0.00323214922154643,0.0035886873460555684,0.004320018726066019,0.003199391444052819,0.00010475541710424182,0.0001519454370324339,-2.0201026717541678e-09,-0.0012588147806639974
BCH-USD,0.003452250118380292,0.006083039580996215,0.0025303857427720297,0.00494127063058849,0.00362507877805639,0.004840178654076829,0.004575831428369427,0.004166561134363803,0.004358960120693571,0.004253727806391605,0.0001301029472159419,0.00018021649227615793,-6.927064827845054e-09,-0.0012775752071640994
BTC-USD,0.002011088711993641,0.0025303857427720297,0.002039750297161101,0.0025705465534689976,0.0021658429388872083,0.0025778017078921457,0.002413655540145005,0.002546576686096216,0.002385057687924102,0.002314171047288523,9.01385358790661e-05,0.00011879304871817678,-2.222733273973681e-09,-0.0008936000475353941
DOGE-USD,0.00351797012737737,0.00494127063058849,0.0025705465534689976,0.023545340286952335,0.0032734315178716685,0.004691484308984244,0.004153759877430828,0.003901567960649358,0.004239880720169815,0.0029561386260758605,0.00017954764401341067,0.00015106191442324906,-1.991579747135322e-08,-0.0026926450265215072
ETH-USD,0.002868632515199423,0.00362507877805639,0.0021658429388872083,0.0032734315178716685,0.003713154889273625,0.00400994817812852,0.0033994823802687784,0.0034881201155392565,0.003230303493838658,0.0030799997906522615,9.745973947335473e-05,0.00013295430590405495,-1.7918996550294503e-09,-0.0010467068298760263
LINK-USD,0.004068795249589999,0.004840178654076829,0.0025778017078921457,0.004691484308984244,0.00400994817812852,0.006629517764688131,0.004524326740080877,0.004671196536868421,0.004590943079220496,0.004333211599992489,8.176534292580872e-05,0.00011434692468650309,-4.280000112075912e-09,-0.0009984341667073368
LTC-USD,0.00323214922154643,0.004575831428369427,0.002413655540145005,0.004153759877430828,0.0033994823802687784,0.004524326740080877,0.00465111363466008,0.004142143745071423,0.0038401335873173965,0.004022829075546484,0.0001073867691349829,0.00014014575164453822,-7.727333930834735e-09,-0.0011263552856042396
MANA-USD,0.0035886873460555684,0.004166561134363803,0.002546576686096216,0.003901567960649358,0.0034881201155392565,0.004671196536868421,0.004142143745071423,0.009075992685472444,0.003996979267351692,0.004065754031789135,0.0001404433609542289,0.00015866329291542054,-6.833625683386004e-09,-0.001628676938935289
XLM-USD,0.004320018726066019,0.004358960120693571,0.002385057687924102,0.004239880720169815,0.003230303493838658,0.004590943079220496,0.0038401335873173965,0.003996979267351692,0.006239500147927589,0.004688685648010573,0.00012055382644670667,0.0001364649554623134,-2.9121915279113496e-09,-0.0012360282476100647
XRP-USD,0.003199391444052819,0.004253727806391605,0.002314171047288523,0.0029561386260758605,0.0030799997906522615,0.004333211599992489,0.004022829075546484,0.004065754031789135,0.004688685648010573,0.007928977938099114,4.2841309793346444e-05,9.453795938421177e-05,-1.0775436810152271e-08,-0.000595283916948785
SPXT,0.00010475541710424182,0.0001301029472159419,9.01385358790661e-05,0.00017954764401341067,9.745973947335473e-05,8.176534292580872e-05,0.0001073867691349829,0.0001404433609542289,0.00012055382644670667,4.2841309793346444e-05,6.157636904147065e-05,7.25912490939503e-05,5.7470112016045316e-11,-0.0005545071095266612
XCMP,0.0001519454370324339,0.00018021649227615793,0.00011879304871817678,0.00015106191442324906,0.00013295430590405495,0.00011434692468650309,0.00014014575164453822,0.00015866329291542054,0.0001364649554623134,9.453795938421177e-05,7.25912490939503e-05,0.00011082026270726654,5.686933849361507e-10,-0.0006609901133277123
SOFR,-2.0201026717541678e-09,-6.927064827845054e-09,-2.222733273973681e-09,-1.991579747135322e-08,-1.7918996550294503e-09,-4.280000112075912e-09,-7.727333930834735e-09,-6.833625683386004e-09,-2.9121915279113496e-09,-1.0775436810152271e-08,5.7470112016045316e-11,5.686933849361507e-10,1.5434546793671246e-12,1.055803986524128e-08
VIX,-0.0012588147806639974,-0.0012775752071640994,-0.0008936000475353941,-0.0026926450265215072,-0.0010467068298760263,-0.0009984341667073368,-0.0011263552856042396,-0.001628676938935289,-0.0012360282476100647,-0.000595283916948785,-0.0005545071095266612,-0.0006609901133277123,1.055803986524128e-08,0.0070019133838764075
