,ADA-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,LINK-USD,LTC-USD,MANA-USD,XLM-USD,XRP-USD,SPXT,XCMP,SOFR,VIX
count,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0
mean,0.47979295454545456,421.3909274193548,29373.430989736073,0.08168724662756598,1511.0567118768329,9.940025439882698,95.16667155425219,0.5022411436950146,0.17548647360703812,0.6039752565982405,8106.179648093841,14102.152129804617,1.0578414598841641,19.37878299120235
std,0.5345592273932493,377.72325034002665,24492.393260943918,0.10199055203306293,1231.38468209247,9.30958723956664,54.28559662782219,0.7387666002296163,0.12849764110373707,0.4991957706775438,2335.9351528917123,4610.960504801278,0.048788529091031006,7.58451811631215
min,0.01849,61.71,3232.51,0.000976,84.12,0.1495,23.12,0.00689,0.01181,0.1385,4559.5,7194.020038,0.993372048,9.14
25%,0.08627,221.9125,8891.535,0.0028465,285.1825,1.8784999999999998,58.7475,0.0625625,0.0893,0.3151,5843.825000000001,9355.677816,1.0306956725,14.02
50%,0.33240000000000003,315.29499999999996,21746.255,0.0618,1437.775,7.21,76.905,0.2945,0.1166,0.47955000000000003,8207.76,14067.613659999999,1.04210957,17.61
75%,0.59155,485.635,43828.1475,0.11979999999999999,2460.335,15.145,115.4975,0.617375,0.242775,0.637575,9469.0875,17268.6482875,1.0772727525,22.505
max,2.968,3715.91,106155.61,0.6894,4810.97,52.3,388.28,5.19,0.8848,3.294,13510.29,24641.85171,1.18602835,82.69
skewness,1.8832212373017427,3.1463949154786373,1.0720134431418558,1.7326426952108749,0.5104811031346856,1.0819604476134435,1.7092612259394488,2.9149079245904197,1.471261602066519,2.7701982050979943,0.482733479141122,0.33462594885466523,1.0825008045362794,2.4647936756525035
kurtosis,3.673605271593378,13.63049047298627,0.4533602384477642,3.341098547569318,-0.9216507832934546,0.8769954372556041,3.381328278303409,9.427163151530117,1.8989249157452428,8.492153343897703,-0.6844919920226524,-0.8701295438765428,0.26212825453540445,11.371233973847099
